Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,PK,PKatt,CrdY,CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,PrgC,PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,# Pl_None,Starts_None,Min_None,GA,GA90,SoTA,Saves,Performance_Save%,W,D,L,CS,CS%,PKatt_None,PKA,PKsv,PKm,Penalty Kicks_Save%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,xG,npxG,npxG/Sh,G-xG,np:G-xG,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,FK_None,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Launched_Att,Cmp%,Att (GK),Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA,GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Def 3rd,Mid 3rd,Att 3rd,Challenges_Tkl,Att,Tkl%,Lost_None,Blocks,Sh_None,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_None,Mid 3rd_None,Att 3rd_None,Att Pen,Live,Att_None,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_None,PrgDist_None,1/3_None,CPA,Mis,Dis,Rec,PrgR,Season
Arsenal,26,24.7,59.3,38,418,3420,38.0,84,64,148,81,3,4,51,0.0,71.7,68.9,53.6,122.5,824,2049,2.21,1.68,3.89,2.13,3.82,1.89,1.41,3.3,1.81,3.22,1,38,3420.0,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0,84,589,194,32.9,15.5,5.11,0.14,0.42,16.0,16,71.7,68.9,0.12,12.3,12.1,90,100,85.0,270.0,150,15,192,2.21,88,43,45,1.18,71.7,42.0,29.7,0.78,0,373,435,56,674,237,343,3,5,1,1984,486,559,46.5,0,6,40.0,0.28,-2.0,-0.05,109,429,25.4,924,174,36.6,33.3,185,49.2,42.8,381,22,5.8,43,1.13,16.1,18281,21969,83.2,310206,100635,8542,9478,90.1,7825,8821,88.7,1454,2548,57.1,64,53.6,46.8,10.4,443,1637,459,62,1045,27.5,776,78,57,73,43,18,150,3.95,121,6,5,13,3,2,568,238,212,118,249,509,48.9,260,362,86,276,805,599,23,25909,1994,6632,11452,8015,1296,25905,751,351,46.7,290,38.6,15924,84012,44202,583,281,526,378,18101,2024,2022-2023
Aston Villa,26,27.0,49.3,38,418,3420,38.0,49,35,84,46,3,4,80,1.0,50.3,47.2,38.8,86.0,637,1242,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26,2,38,3420.0,46,1.21,151,108,72.8,18,7,13,12,31.6,6,5,1,0,16.7,49,427,145,34.0,11.24,3.82,0.11,0.32,18.0,18,50.3,47.2,0.11,-1.3,-1.2,90,100,83.0,274.0,144,20,193,1.61,51,46,5,0.13,50.3,52.5,-2.2,-0.06,0,417,498,58,561,324,338,4,6,4,1847,442,465,48.7,1,9,42.8,0.25,0.8,0.02,214,585,36.6,1247,153,37.0,37.6,265,46.8,38.3,528,65,12.3,76,2.0,14.2,13782,17396,79.2,244073,87581,6111,6947,88.0,5979,6934,86.2,1345,2579,52.2,35,38.8,31.6,-3.8,318,964,268,80,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3,632,305,251,76,312,648,48.1,336,438,118,320,956,714,14,21500,2783,7912,9077,4705,746,21495,682,293,43.0,279,40.9,12295,65580,33150,434,174,565,371,13587,1227,2022-2023
Bournemouth,31,26.3,40.4,38,418,3420,38.0,37,24,61,37,0,0,68,0.0,38.5,38.5,28.4,66.9,504,1006,0.97,0.63,1.61,0.97,1.61,1.01,0.75,1.76,1.01,1.76,2,38,3420.0,71,1.87,204,136,68.1,11,6,21,8,21.1,7,6,0,1,0.0,37,358,126,35.2,9.42,3.32,0.1,0.29,15.5,14,38.5,38.5,0.11,-1.5,-1.5,90,100,84.0,279.0,141,19,201,1.03,37,71,-34,-0.89,38.5,63.8,-25.3,-0.67,0,391,365,38,509,353,371,0,7,3,1942,521,539,49.2,0,16,63.6,0.29,-4.4,-0.11,231,591,39.1,847,190,44.0,31.9,353,61.8,44.1,739,40,5.4,30,0.79,10.5,11715,15381,76.2,206704,82672,5412,6278,86.2,4751,5644,84.2,1192,2491,47.9,24,28.4,26.3,-4.4,261,850,237,75,616,16.21,444,45,53,43,24,7,64,1.68,44,5,4,8,2,1,618,316,249,53,256,614,41.7,358,499,170,329,971,1027,11,19950,2934,8004,7933,4256,699,19950,743,329,44.3,344,46.3,10340,55360,27431,389,144,589,367,11617,986,2022-2023
Brentford,25,26.2,43.8,38,418,3420,38.0,56,36,92,49,7,8,57,1.0,56.3,50.1,38.4,88.5,392,1131,1.47,0.95,2.42,1.29,2.24,1.48,1.01,2.49,1.32,2.33,1,38,3420.0,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0,56,400,147,36.8,10.53,3.87,0.12,0.33,15.7,14,56.3,50.1,0.13,-0.3,-1.1,90,100,82.0,247.0,171,19,171,1.55,58,46,12,0.32,56.3,48.8,7.5,0.2,1,354,399,72,661,341,338,7,2,3,1959,664,617,51.8,1,9,48.1,0.24,5.1,0.13,347,882,39.3,1361,160,50.9,39.5,275,68.7,51.0,598,53,8.9,54,1.42,15.7,11317,15551,72.8,209962,87002,5142,6116,84.1,4475,5602,79.9,1438,2947,48.8,36,38.4,30.5,-2.4,284,922,279,87,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2,588,271,228,89,253,599,42.2,346,456,168,288,929,822,14,19749,2632,7290,7803,4835,827,19741,600,267,44.5,248,41.3,10409,49018,23993,300,102,520,336,11203,1121,2022-2023
Brighton,29,26.3,60.2,38,418,3420,38.0,68,46,114,62,6,6,58,0.0,73.3,68.9,52.2,121.2,809,1849,1.79,1.21,3.0,1.63,2.84,1.93,1.37,3.3,1.81,3.19,2,38,3420.0,53,1.39,131,82,64.1,18,8,12,12,31.6,8,6,2,0,25.0,68,607,219,36.1,15.97,5.76,0.1,0.28,16.8,12,73.3,68.9,0.12,-5.3,-6.9,90,100,83.0,277.0,143,19,199,1.63,72,53,19,0.5,73.3,50.2,23.1,0.61,0,427,407,70,694,303,340,4,8,6,2013,444,387,53.4,0,6,42.7,0.27,-4.3,-0.11,94,279,33.7,1067,151,21.4,28.9,247,20.6,23.2,355,27,7.6,32,0.84,12.3,19210,22888,83.9,319736,106474,9346,10305,90.7,7892,8919,88.5,1463,2462,59.4,46,52.2,44.7,-6.2,480,1459,391,78,1075,28.29,819,73,81,63,27,12,115,3.03,83,3,13,9,6,1,616,270,242,104,266,561,47.4,295,392,104,288,919,432,15,26728,2471,7844,12213,6873,1102,26722,726,345,47.5,279,38.4,16331,83718,43965,547,250,558,324,18991,1828,2022-2023
Chelsea,32,26.3,58.7,38,418,3420,38.0,37,27,64,34,3,3,81,3.0,49.5,47.2,38.6,85.8,829,1737,0.97,0.71,1.68,0.89,1.61,1.3,1.02,2.32,1.24,2.26,2,38,3420.0,47,1.24,159,115,71.1,11,11,16,10,26.3,1,1,0,0,0.0,37,481,151,31.4,12.66,3.97,0.07,0.23,16.8,10,49.5,47.2,0.1,-12.5,-13.2,90,100,81.0,243.0,173,22,169,1.16,38,47,-9,-0.24,49.5,52.5,-3.0,-0.08,2,397,462,74,693,341,445,3,1,3,2024,493,453,52.1,1,8,47.0,0.3,3.0,0.08,95,290,32.8,1087,198,18.2,27.6,248,37.1,31.9,460,24,5.2,63,1.66,13.7,19147,22836,83.8,316440,104718,9510,10494,90.6,7700,8709,88.4,1461,2499,58.5,27,38.6,35.3,-11.6,376,1426,370,68,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0,740,363,267,110,333,656,50.8,323,466,108,358,1081,661,21,27166,2564,8461,12057,6850,958,27163,838,380,45.3,352,42.0,16538,83509,43596,622,216,568,381,19065,1729,2022-2023
Crystal Palace,26,26.7,46.3,38,418,3420,38.0,38,29,67,37,1,3,82,3.0,39.3,36.8,29.0,65.8,556,1243,1.0,0.76,1.76,0.97,1.74,1.03,0.76,1.8,0.97,1.73,3,38,3420.0,49,1.29,160,114,71.9,11,12,15,9,23.7,4,4,0,0,0.0,38,423,133,31.4,11.13,3.5,0.09,0.28,17.6,23,39.3,36.8,0.09,-1.3,0.2,90,100,84.0,277.0,138,17,204,1.18,40,49,-9,-0.24,39.3,48.1,-8.8,-0.23,2,446,479,58,591,359,421,2,4,3,2093,496,578,46.2,0,8,44.7,0.26,-1.3,-0.03,153,446,34.3,930,189,33.7,32.3,273,48.7,37.6,539,29,5.4,40,1.05,13.1,13395,17308,77.4,238779,88389,6005,6901,87.0,5794,6772,85.6,1309,2751,47.6,29,29.0,23.8,0.0,316,1013,239,51,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2,690,354,246,90,281,532,52.8,251,463,119,344,1049,807,7,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,393,206,643,457,13304,1238,2022-2023
Everton,28,26.6,42.8,38,418,3420,38.0,32,24,56,29,3,3,81,2.0,45.2,42.8,32.4,75.1,500,1052,0.84,0.63,1.47,0.76,1.39,1.19,0.85,2.04,1.13,1.98,2,38,3420.0,57,1.5,185,127,71.9,8,12,18,9,23.7,6,5,1,0,16.7,32,426,143,33.6,11.21,3.76,0.07,0.2,16.8,12,45.2,42.8,0.1,-13.2,-13.8,90,100,84.0,300.0,116,20,225,0.95,34,57,-23,-0.61,45.2,65.5,-20.4,-0.54,1,396,382,64,704,390,424,3,6,0,2049,582,613,48.7,2,4,60.4,0.3,3.4,0.09,274,814,33.7,1012,156,57.7,34.9,325,70.8,52.4,589,23,3.9,52,1.37,5.0,11790,15783,74.7,214056,82478,5336,6174,86.4,4771,5750,83.0,1366,2947,46.4,24,32.4,26.9,-8.4,308,964,224,67,735,19.34,493,84,39,54,45,20,59,1.55,41,5,5,2,4,2,708,362,257,89,309,619,49.9,310,510,180,330,1098,874,17,20233,2527,7219,8418,4830,742,20229,674,310,46.0,296,43.9,10479,56737,27858,391,137,605,300,11708,1042,2022-2023
Fulham,29,28.2,48.8,38,418,3420,38.0,52,33,85,47,5,9,80,1.0,46.2,39.1,28.5,67.7,663,1326,1.37,0.87,2.24,1.24,2.11,1.22,0.75,1.97,1.03,1.78,2,38,3420.0,53,1.39,196,144,76.5,15,7,16,9,23.7,8,7,1,0,12.5,52,420,137,32.6,11.05,3.61,0.11,0.34,17.3,17,46.2,39.1,0.1,5.8,7.9,90,100,84.0,265.0,152,15,190,1.37,55,53,2,0.05,46.2,63.6,-17.4,-0.46,0,411,405,60,769,340,350,8,8,2,1979,511,550,48.2,1,8,60.1,0.28,9.1,0.24,140,438,32.0,1176,193,28.4,46.0,280,37.1,35.0,490,36,7.3,48,1.26,14.0,13974,18014,77.6,255629,89303,5867,6818,86.1,6222,7333,84.8,1551,2860,54.2,33,28.5,23.7,4.5,306,1044,284,97,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2,625,295,229,101,299,588,50.9,289,455,125,330,965,749,15,22162,2563,7462,9525,5416,758,22153,607,281,46.3,238,39.2,12252,68216,35374,474,124,535,379,13848,1316,2022-2023
Leeds United,29,25.3,47.0,38,418,3420,38.0,45,31,76,44,1,3,89,3.0,47.3,44.9,31.8,76.7,555,1429,1.18,0.82,2.0,1.16,1.97,1.24,0.84,2.08,1.18,2.02,2,38,3420.0,78,2.05,185,108,60.5,7,10,21,5,13.2,6,5,0,1,0.0,45,459,141,30.7,12.08,3.71,0.1,0.31,16.6,19,47.3,44.9,0.1,-2.3,-0.9,90,100,82.0,260.0,157,21,185,0.82,48,78,-30,-0.79,47.3,67.1,-19.8,-0.52,2,467,405,60,653,392,480,2,6,1,2206,586,607,49.1,1,7,64.1,0.32,-12.9,-0.34,124,520,23.8,883,214,40.8,41.1,275,58.2,44.1,475,36,7.6,69,1.82,11.6,12437,16924,73.5,206567,84295,6115,7225,84.6,4782,5973,80.1,1072,2528,42.4,31,31.8,27.3,-0.8,337,1086,270,70,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3,840,376,343,121,412,863,47.7,451,536,131,405,1232,734,18,21642,2125,6971,9290,5587,796,21639,688,268,39.0,328,47.7,11342,55027,27060,379,146,602,421,12329,1418,2022-2023
